    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.18s
     Running unittests src\lib.rs (C:\Users\bajra\.codex-target\nbsr-p1f\debug\deps\nbsr_transport-e554f6a20969ada2.exe)
P1F_SOAK elapsed_ms=154000 attempts=5369576 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=155000 attempts=5405386 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=156000 attempts=5440940 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=157000 attempts=5476011 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=158000 attempts=5511378 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=159000 attempts=5546676 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=160000 attempts=5582630 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=161000 attempts=5618281 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=162000 attempts=5654052 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=163000 attempts=5689255 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=164000 attempts=5724909 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=165000 attempts=5760252 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=166000 attempts=5795483 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=167000 attempts=5830811 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=168000 attempts=5866478 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=169000 attempts=5901759 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=170000 attempts=5937487 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=171000 attempts=5972927 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=172000 attempts=6008508 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=173000 attempts=6043910 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=174000 attempts=6079321 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=175000 attempts=6114891 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=176000 attempts=6150393 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=177000 attempts=6185899 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=178000 attempts=6221386 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=179000 attempts=6256601 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=180000 attempts=6291627 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=181000 attempts=6326688 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=182000 attempts=6362021 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=183000 attempts=6397613 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=184000 attempts=6432882 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=185000 attempts=6468464 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=186000 attempts=6503552 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=187000 attempts=6538547 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=188000 attempts=6573583 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=189000 attempts=6608867 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=190000 attempts=6644227 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=191000 attempts=6680094 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=192000 attempts=6715711 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=193000 attempts=6750953 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=194000 attempts=6786071 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=195000 attempts=6821611 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=196000 attempts=6857003 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=197000 attempts=6892505 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=198000 attempts=6928241 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=199000 attempts=6963051 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=200000 attempts=6998882 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=201000 attempts=7034202 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=202000 attempts=7069639 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=203000 attempts=7105194 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=204000 attempts=7140700 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=205000 attempts=7176329 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=206000 attempts=7212032 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=207000 attempts=7247306 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=208000 attempts=7282869 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=209000 attempts=7318462 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=210000 attempts=7353722 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=211000 attempts=7388909 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=212000 attempts=7424207 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=213000 attempts=7459909 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=214000 attempts=7495235 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=215000 attempts=7530492 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=216000 attempts=7565688 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=217000 attempts=7601074 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=218000 attempts=7636431 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=219000 attempts=7671418 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=220000 attempts=7706921 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=221000 attempts=7742259 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=222000 attempts=7777729 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=223000 attempts=7812965 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=224000 attempts=7848240 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=225000 attempts=7883724 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=226000 attempts=7918911 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=227000 attempts=7954379 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=228000 attempts=7989446 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=229000 attempts=8024462 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=230000 attempts=8059861 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=231000 attempts=8094979 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=232000 attempts=8130343 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=233000 attempts=8165775 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=234000 attempts=8201278 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=235000 attempts=8236746 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=236000 attempts=8272230 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=237000 attempts=8307804 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=238000 attempts=8342963 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=239000 attempts=8378302 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=240000 attempts=8413172 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=241000 attempts=8448217 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=242000 attempts=8483316 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=243000 attempts=8518340 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=244000 attempts=8553319 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=245000 attempts=8588294 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=246000 attempts=8623630 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=247000 attempts=8658916 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=248000 attempts=8694448 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=249000 attempts=8729407 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=250000 attempts=8765001 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=251000 attempts=8800516 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=252000 attempts=8836252 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=253000 attempts=8872033 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=254000 attempts=8907714 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=255000 attempts=8943094 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=256000 attempts=8978283 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=257000 attempts=9013660 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=258000 attempts=9049377 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=259000 attempts=9084836 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=260000 attempts=9119893 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=261000 attempts=9154967 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=262000 attempts=9190532 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=263000 attempts=9226066 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=264000 attempts=9261601 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=265000 attempts=9296761 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=266000 attempts=9332475 entries=10000 capacity=14336
